marketplace,pid,url,title,option_text,tier,duration,delivery,price_rub,strong_signal,glitched,glitch_reason
plati,5421112,https://plati.market/itm/5421112,Купить MINIMAX API ПОДПИСКА/API ПАКЕТЫ 1/3/12 МЕСЯЦЕВ,[3 МЕСЯЦА] PRO | +33 000 ₽,Pro+,3m,unknown,93750.0,True,False,
plati,5421112,https://plati.market/itm/5421112,Купить MINIMAX API ПОДПИСКА/API ПАКЕТЫ 1/3/12 МЕСЯЦЕВ,[1 ГОД] PRO | +113 250 ₽,Pro+,12m,unknown,174000.0,True,False,
ggsel,102456246,https://ggsel.net/catalog/product/102456246,Купить MiniMax AI | Standard • Pro • Unlimited | Мгновенный доступ | Поддержка 24/7 и,План Plus | 1 месяц |,Plus,1m,new_account,2222.0,True,False,
ggsel,102558423,https://ggsel.net/catalog/product/102558423,Купить Подписка Hailuo AI | Plus / Pro / Max | 1 месяц | На ваш аккаунт,Pro 35$,Pro,1m,own_account,2155.0,True,False,
ggsel,102558423,https://ggsel.net/catalog/product/102558423,Купить Подписка Hailuo AI | Plus / Pro / Max | 1 месяц | На ваш аккаунт,Max 200$,Max,1m,own_account,9968.0,True,False,
ggsel,102107986,https://ggsel.net/catalog/product/102107986,Купить Minimax AI | Подписка Plus/Max/Ultra | 1 месяц,Plus - 1 месяц,Plus,1m,unknown,2100.0,True,False,
ggsel,102107986,https://ggsel.net/catalog/product/102107986,Купить Minimax AI | Подписка Plus/Max/Ultra | 1 месяц,Max - 1 месяц,Max,1m,unknown,5800.0,True,False,
ggsel,5457324,https://ggsel.net/catalog/product/5457324,"Купить MiniMax Audio | Подписка, пополнение | 1-12 месяцев",Pro | Месяц,Pro,1m,unknown,13549.0,True,False,
ggsel,4978392,https://ggsel.net/catalog/product/4978392,Купить Подписка на план кодирования MINIMAX AI Plus/Max на 1 месяц,"Plus: ~1,7 млрд токенов в месяц использования M3",Plus,1m,unknown,1176.0,True,False,
ggsel,102369748,https://ggsel.net/catalog/product/102369748,Купить MINIMAX AI | PLATFORM MINIMAX API | PLUS/MAX/ULTRA | 1 MONTH WARRANTY,Max 1 Month,Max,1m,unknown,4433.0,True,False,
ggsel,102369748,https://ggsel.net/catalog/product/102369748,Купить MINIMAX AI | PLATFORM MINIMAX API | PLUS/MAX/ULTRA | 1 MONTH WARRANTY,Plus 1 Month,Plus,1m,unknown,1400.0,True,False,
ggsel,102163431,https://ggsel.net/catalog/product/102163431,Купить Членство в Minimax | Аккаунт | Пополнение счета | и доступно,Аккаунт | pro | 1 месяц,Pro,1m,unknown,11581.0,True,False,
ggsel,102163431,https://ggsel.net/catalog/product/102163431,Купить Членство в Minimax | Аккаунт | Пополнение счета | и доступно,Пополнение счета | pro | 1 месяц,Pro,1m,unknown,11969.0,True,False,
ggsel,102608819,https://ggsel.net/catalog/product/102608819,Купить Minimax API Platform | Plus Plan | Max Plan | Ultra Plan | 1 месяц,PLUS,Plus,1m,unknown,1425.0,True,False,
ggsel,102608819,https://ggsel.net/catalog/product/102608819,Купить Minimax API Platform | Plus Plan | Max Plan | Ultra Plan | 1 месяц,MAX,Max,1m,unknown,3625.0,True,False,
ggsel,102438200,https://ggsel.net/catalog/product/102438200,Купить Minimax API Platform | План Plus | План «Макс» | Пакет «Ультра» | 1 месяц,PLUS,Plus,1m,unknown,1450.0,True,False,
ggsel,102438200,https://ggsel.net/catalog/product/102438200,Купить Minimax API Platform | План Plus | План «Макс» | Пакет «Ультра» | 1 месяц,MAX,Max,1m,unknown,3650.0,True,False,
ggsel,102359533,https://ggsel.net/catalog/product/102359533,"Купить Платформа MINIMAX AI, тарифный план STARTER/MAX, подписка на 1 месяц | и",Плюс 20 долларов в месяц,Plus,1m,unknown,1800.0,True,False,
ggsel,102707964,https://ggsel.net/catalog/product/102707964,Купить Подписка MINIMAX MEDIA PLAN — Starter/Plus/Pro — 1 месяц,Pro,Pro,1m,unknown,21950.0,True,False,
ggsel,102707964,https://ggsel.net/catalog/product/102707964,Купить Подписка MINIMAX MEDIA PLAN — Starter/Plus/Pro — 1 месяц,Plus,Plus,1m,unknown,7850.0,True,False,
ggsel,102707964,https://ggsel.net/catalog/product/102707964,Купить Подписка MINIMAX MEDIA PLAN — Starter/Plus/Pro — 1 месяц,Plus (Годовой),Plus,1m,unknown,67450.0,True,False,
ggsel,102697420,https://ggsel.net/catalog/product/102697420,Купить MiniMax AI Plus/ Max/ Ultra – 1 месяц | ПОЛНАЯ,MiniMax AI Plus – 1 месяц,Plus,1m,unknown,2190.0,True,False,
ggsel,102697420,https://ggsel.net/catalog/product/102697420,Купить MiniMax AI Plus/ Max/ Ultra – 1 месяц | ПОЛНАЯ,MiniMax AI Max – 1 месяц,Max,1m,unknown,8790.0,True,False,
